epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.662,3.93533,5.51712,3.47204,0.14865,0.04301,0.01128,0.003,3.49923,4.26529,3.34948,0.00332479,0.00332479,0.00332479
2,209.322,2.5447,2.67471,2.17326,0.20779,0.11609,0.04334,0.01056,3.37094,3.89786,3.13687,0.0065922,0.0065922,0.0065922
3,314.821,2.13909,1.81897,1.82456,0.22376,0.18318,0.07697,0.02274,2.9548,3.7152,2.8278,0.00979362,0.00979362,0.00979362
4,419.146,1.93455,1.41074,1.66851,0.22955,0.07986,0.07656,0.01883,3.06726,3.98006,2.9322,0.009703,0.009703,0.009703
5,525.072,1.79377,1.2106,1.57704,0.18623,0.24433,0.15664,0.04006,3.06536,3.52951,2.97002,0.009604,0.009604,0.009604
6,629.062,1.70418,1.1136,1.51975,0.11068,0.19,0.12085,0.03208,3.15608,4.09214,3.0249,0.009505,0.009505,0.009505
7,732.431,1.64124,1.0451,1.48141,0.1381,0.1948,0.14152,0.03372,3.17378,3.70931,3.04871,0.009406,0.009406,0.009406
8,835.235,1.59034,0.99811,1.44139,0.25884,0.24864,0.20213,0.0671,2.96864,3.40116,2.92141,0.009307,0.009307,0.009307
9,937.953,1.54488,0.95354,1.41386,0.21327,0.24154,0.18251,0.06073,2.98783,3.63948,2.81777,0.009208,0.009208,0.009208
10,1040.69,1.5089,0.92254,1.39382,0.21622,0.22443,0.18302,0.0554,3.00815,3.96775,2.92671,0.009109,0.009109,0.009109
11,1143.37,1.47543,0.8937,1.37321,0.24572,0.26128,0.19752,0.07259,2.89057,3.67075,2.68615,0.00901,0.00901,0.00901
12,1246.46,1.45115,0.87067,1.35682,0.28289,0.26801,0.23645,0.07122,2.93561,3.64679,2.7762,0.008911,0.008911,0.008911
13,1348.75,1.42463,0.84893,1.34101,0.27391,0.25856,0.21002,0.06967,2.90015,3.82046,2.73351,0.008812,0.008812,0.008812
14,1451.25,1.39917,0.82909,1.32761,0.21702,0.24001,0.19223,0.05886,2.96744,3.86839,2.72149,0.008713,0.008713,0.008713
15,1554.11,1.37836,0.81222,1.31504,0.23504,0.25398,0.2042,0.06315,3.0498,3.98972,2.8385,0.008614,0.008614,0.008614
16,1656.93,1.35355,0.79346,1.29948,0.21558,0.21192,0.18051,0.05993,2.97492,4.09035,2.77312,0.008515,0.008515,0.008515
17,1758.81,1.33874,0.78023,1.2885,0.27508,0.25378,0.22128,0.06911,3.01762,3.67761,2.76497,0.008416,0.008416,0.008416
18,1861.34,1.31747,0.77017,1.27801,0.23281,0.22723,0.19649,0.06255,2.98641,4.04938,2.80033,0.008317,0.008317,0.008317
19,1963.85,1.30387,0.75708,1.26815,0.23414,0.23062,0.18905,0.05765,2.95975,4.06623,2.73963,0.008218,0.008218,0.008218
20,2067.02,1.28909,0.74719,1.25742,0.24322,0.23954,0.20092,0.06034,3.02563,3.96719,2.82899,0.008119,0.008119,0.008119
21,2169.71,1.2705,0.73334,1.24874,0.27001,0.24545,0.21676,0.06711,3.01344,3.94212,2.78971,0.00802,0.00802,0.00802
22,2272.59,1.25591,0.72436,1.23809,0.25873,0.21329,0.19541,0.05865,3.06775,4.04195,2.86487,0.007921,0.007921,0.007921
23,2375.41,1.24381,0.71434,1.23314,0.24832,0.2276,0.19832,0.06619,2.96689,4.03628,2.77734,0.007822,0.007822,0.007822
