epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1992,4.25525,4.73197,3.33855,0.46313,0.20109,0.17047,0.04898,3.14635,2.57197,2.56936,0.00332489,0.00332489,0.00332489
2,183.264,2.49454,2.0639,1.87151,0.68061,0.52442,0.54854,0.2375,2.18473,1.51063,1.81786,0.00662527,0.00662527,0.00662527
3,270.705,2.0811,1.50171,1.56519,0.63338,0.58207,0.58911,0.25311,2.04528,1.4195,1.67904,0.00989264,0.00989264,0.00989264
4,357.674,1.86261,1.20776,1.43075,0.7734,0.65224,0.72103,0.34611,1.8028,1.15298,1.51179,0.0098515,0.0098515,0.0098515
5,445.531,1.7151,1.04896,1.34938,0.80996,0.7192,0.78833,0.40358,1.66858,1.01787,1.4259,0.009802,0.009802,0.009802
6,533.436,1.61858,0.95785,1.3004,0.83609,0.79417,0.83591,0.45014,1.57576,0.9319,1.36347,0.0097525,0.0097525,0.0097525
7,621.422,1.55584,0.90278,1.27065,0.86102,0.79749,0.84894,0.47613,1.52493,0.86494,1.34376,0.009703,0.009703,0.009703
8,709.474,1.49697,0.85616,1.23859,0.87235,0.82278,0.86946,0.50388,1.46457,0.82564,1.31003,0.0096535,0.0096535,0.0096535
9,797.463,1.44988,0.82356,1.214,0.86261,0.83688,0.87592,0.52173,1.41189,0.7884,1.27503,0.009604,0.009604,0.009604
10,885.368,1.41235,0.79729,1.19805,0.87821,0.85308,0.88802,0.54661,1.36449,0.7537,1.24636,0.0095545,0.0095545,0.0095545
11,974.274,1.37815,0.77081,1.18271,0.89251,0.86142,0.899,0.55629,1.31681,0.73626,1.22048,0.009505,0.009505,0.009505
12,1062.35,1.35575,0.75612,1.17167,0.89711,0.85393,0.9015,0.56944,1.29356,0.71611,1.20982,0.0094555,0.0094555,0.0094555
13,1149.42,1.32524,0.73812,1.15766,0.8998,0.87055,0.90816,0.59048,1.24314,0.68382,1.18534,0.009406,0.009406,0.009406
14,1237.06,1.29999,0.72038,1.14794,0.90235,0.87238,0.91394,0.5992,1.23404,0.66645,1.18218,0.0093565,0.0093565,0.0093565
15,1324.39,1.28138,0.70615,1.13995,0.90457,0.87943,0.9132,0.60854,1.19693,0.64624,1.16304,0.009307,0.009307,0.009307
16,1411.78,1.25432,0.69086,1.12747,0.90921,0.87713,0.91776,0.62424,1.15615,0.63016,1.14732,0.0092575,0.0092575,0.0092575
17,1499.79,1.24153,0.68418,1.12162,0.90978,0.89006,0.92203,0.62854,1.14332,0.6241,1.13726,0.009208,0.009208,0.009208
18,1589.03,1.23024,0.67757,1.11667,0.91305,0.88926,0.9228,0.63897,1.11459,0.60348,1.12479,0.0091585,0.0091585,0.0091585
19,1676.85,1.21007,0.66251,1.10547,0.90807,0.89622,0.9261,0.6452,1.09764,0.59034,1.11792,0.009109,0.009109,0.009109
20,1764.47,1.19961,0.65449,1.10287,0.91986,0.88815,0.9294,0.65309,1.08165,0.58499,1.10877,0.0090595,0.0090595,0.0090595
21,1851.74,1.18668,0.64895,1.09605,0.9191,0.90037,0.93362,0.66008,1.06481,0.57458,1.09881,0.00901,0.00901,0.00901
22,1939.08,1.17413,0.64276,1.09186,0.92201,0.89746,0.93453,0.66441,1.05217,0.57489,1.09566,0.0089605,0.0089605,0.0089605
23,2026.48,1.16101,0.63262,1.08489,0.92264,0.90044,0.93344,0.66989,1.03081,0.56019,1.08607,0.008911,0.008911,0.008911
24,2113.79,1.14451,0.6228,1.07896,0.92398,0.90378,0.93698,0.68017,1.01163,0.55452,1.07698,0.0088615,0.0088615,0.0088615
25,2202.33,1.1408,0.62169,1.07866,0.9226,0.90714,0.93729,0.68037,1.00401,0.54733,1.07341,0.008812,0.008812,0.008812
26,2290.72,1.13145,0.61385,1.07322,0.93022,0.90398,0.94014,0.68362,0.99213,0.54043,1.06665,0.0087625,0.0087625,0.0087625
27,2378.94,1.12414,0.61151,1.07082,0.92926,0.90984,0.94135,0.68873,0.98094,0.53222,1.06073,0.008713,0.008713,0.008713
28,2468.32,1.10828,0.60219,1.06438,0.9302,0.91576,0.9435,0.69559,0.96532,0.52631,1.05338,0.0086635,0.0086635,0.0086635
29,2556.78,1.10528,0.60096,1.0644,0.92681,0.91431,0.94346,0.69908,0.95781,0.52063,1.05017,0.008614,0.008614,0.008614
30,2644.58,1.09656,0.59361,1.05773,0.92711,0.91719,0.94512,0.70558,0.94764,0.51511,1.04841,0.0085645,0.0085645,0.0085645
31,2732.33,1.09048,0.59124,1.05494,0.9289,0.91791,0.944,0.7073,0.93948,0.51217,1.04418,0.008515,0.008515,0.008515
32,2820.71,1.08115,0.58503,1.05343,0.92993,0.91975,0.94489,0.70937,0.93162,0.50778,1.04002,0.0084655,0.0084655,0.0084655
33,2909.02,1.06781,0.57953,1.04898,0.93242,0.91836,0.94536,0.71283,0.92206,0.50336,1.03666,0.008416,0.008416,0.008416
34,2996.75,1.06727,0.57722,1.04645,0.93132,0.91825,0.94614,0.7149,0.9176,0.50068,1.03444,0.0083665,0.0083665,0.0083665
35,3084.25,1.05721,0.57203,1.04268,0.93161,0.91903,0.94709,0.71705,0.9129,0.4973,1.03145,0.008317,0.008317,0.008317
36,3171.06,1.05634,0.57091,1.04197,0.93454,0.91848,0.94709,0.72006,0.90537,0.49425,1.028,0.0082675,0.0082675,0.0082675
37,3257.66,1.05072,0.56801,1.03965,0.93347,0.92115,0.94762,0.72184,0.901,0.49195,1.02616,0.008218,0.008218,0.008218
38,3343.33,1.04707,0.56498,1.04143,0.9332,0.92188,0.94772,0.72289,0.89598,0.48958,1.02395,0.0081685,0.0081685,0.0081685
39,3428.71,1.04077,0.56159,1.03616,0.93282,0.92165,0.94787,0.72417,0.89239,0.48818,1.02251,0.008119,0.008119,0.008119
40,3514.12,1.03443,0.55786,1.03479,0.93475,0.92073,0.94812,0.72619,0.88804,0.48545,1.02033,0.0080695,0.0080695,0.0080695
41,3599.59,1.02332,0.55153,1.03029,0.93453,0.92118,0.94831,0.72741,0.88405,0.48302,1.01875,0.00802,0.00802,0.00802
42,3685.29,1.02421,0.55168,1.02954,0.93309,0.92163,0.94864,0.72917,0.88083,0.481,1.01724,0.0079705,0.0079705,0.0079705
43,3770.25,1.01849,0.54952,1.02923,0.93473,0.92141,0.94883,0.7309,0.87803,0.47941,1.01599,0.007921,0.007921,0.007921
44,3855.67,1.01497,0.54734,1.02713,0.93353,0.92261,0.94914,0.73189,0.87519,0.47761,1.01449,0.0078715,0.0078715,0.0078715
45,3941.24,1.00989,0.54368,1.02404,0.93363,0.92254,0.9492,0.73273,0.87273,0.47585,1.01346,0.007822,0.007822,0.007822
46,4026.71,1.00567,0.54011,1.02386,0.93548,0.9227,0.94979,0.73389,0.87029,0.47389,1.0126,0.0077725,0.0077725,0.0077725
47,4112.04,0.99815,0.53927,1.0205,0.93573,0.92255,0.94979,0.73496,0.86767,0.47274,1.01148,0.007723,0.007723,0.007723
48,4198.28,0.99501,0.53508,1.02041,0.93559,0.92385,0.95026,0.73589,0.86542,0.47071,1.01043,0.0076735,0.0076735,0.0076735
49,4286.85,0.99825,0.53571,1.02152,0.93534,0.92488,0.95083,0.73694,0.86303,0.46947,1.00949,0.007624,0.007624,0.007624
50,4375.31,0.98687,0.52912,1.01665,0.93561,0.9251,0.95068,0.73769,0.86101,0.46836,1.00863,0.0075745,0.0075745,0.0075745
